Country,Year,GDP_pc
Argentina,1950,2746.029846
Argentina,1951,2799.192261
Argentina,1952,2978.339772
Argentina,1953,3040.327773
Argentina,1954,3195.261689
Argentina,1955,3303.26816
Argentina,1956,3323.201442
Argentina,1957,3549.804762
Argentina,1958,3665.519871
Argentina,1959,3832.009817
Argentina,1960,4007.656572
Argentina,1961,4439.274175
Argentina,1962,4533.438451
Argentina,1963,4685.357174
Argentina,1964,4738.216193
Argentina,1965,4920.486012
Argentina,1966,4968.172514
Argentina,1967,5104.344488
Argentina,1968,5518.137591
Argentina,1969,5711.62661
Argentina,1970,6165.356509
Argentina,1971,6697.64252
Argentina,1972,7318.918519
Argentina,1973,8145.592458
Argentina,1974,8603.605419
Argentina,1975,8836.582236
Argentina,1976,9514.724817
Argentina,1977,9749.851484
Argentina,1978,9994.761779
Argentina,1979,10420.8204
Argentina,1980,11117.12285
Argentina,1981,10396.87101
Argentina,1982,10240.51791
Argentina,1983,9713.898973
Argentina,1984,10011.47854
Argentina,1985,10566.56419
Argentina,1986,11124.8659
Argentina,1987,11290.09449
Argentina,1988,11068.38935
Argentina,1989,11207.40284
Argentina,1990,10527.43755
Argentina,1991,10450.37693
Argentina,1992,10177.27496
Argentina,1993,10493.30682
Argentina,1994,10927.41059
Argentina,1995,11207.07731
Argentina,1996,11267.63442
Argentina,1997,11467.22091
Argentina,1998,11297.21737
Argentina,1999,11159.4064
Argentina,2000,11475.35527
Argentina,2001,11468.19768
Argentina,2002,11619.49254
Argentina,2003,11605.87289
Argentina,2004,12112.86139
Argentina,2005,12358.30496
Argentina,2006,12708.63236
Argentina,2007,13340.84884
Argentina,2008,13881.7423
Argentina,2009,13731.54856
Argentina,2010,14627.44663
Argentina,2011,15070.13134
Argentina,2012,15223.02357
Argentina,2013,15544.05986
Argentina,2014,15489.26976
Argentina,2015,14815.25672
Argentina,2016,14212.36472
Argentina,2017,14284.61189
Argentina,2018,14359.77095
Argentina,2019,14414.24221
Brazil,1950,2746.029846
Brazil,1951,2799.192261
Brazil,1952,2978.339772
Brazil,1953,3040.327773
Brazil,1954,3195.261689
Brazil,1955,3303.26816
Brazil,1956,3323.201442
Brazil,1957,3549.804762
Brazil,1958,3665.519871
Brazil,1959,3832.009817
Brazil,1960,4007.656572
Brazil,1961,4439.274175
